Parsing + chunking /Users/seyednavidmirnourilangeroudi/Downloads/mabhas9-1402-08_260814_023938.pdf ...
  OCR page 182/652 (1081 chars)
  OCR page 183/652 (962 chars)
  OCR page 184/652 (1193 chars)
  OCR page 185/652 (1072 chars)
  OCR page 186/652 (1332 chars)
  OCR page 187/652 (1158 chars)
  OCR page 188/652 (1305 chars)
  OCR page 189/652 (1025 chars)
  OCR page 190/652 (1244 chars)
  OCR page 191/652 (1342 chars)
  OCR page 192/652 (463 chars)
  OCR page 193/652 (1330 chars)
  OCR page 194/652 (893 chars)
  OCR page 195/652 (975 chars)
  OCR page 196/652 (1158 chars)
  OCR page 197/652 (858 chars)
  OCR page 198/652 (1066 chars)
  OCR page 199/652 (1082 chars)
  OCR page 200/652 (818 chars)
  OCR page 201/652 (983 chars)
  OCR page 202/652 (380 chars)
  OCR page 203/652 (865 chars)
  OCR page 204/652 (1040 chars)
  OCR page 205/652 (905 chars)
  OCR page 206/652 (972 chars)
  OCR page 207/652 (917 chars)
  OCR page 208/652 (1186 chars)
  OCR page 209/652 (898 chars)
  OCR page 210/652 (827 chars)
  OCR page 211/652 (1332 chars)
  OCR page 212/652 (826 chars)
  OCR page 213/652 (466 chars)
  OCR page 214/652 (0 chars)
  OCR page 215/652 (716 chars)
  OCR page 216/652 (1261 chars)
  OCR page 217/652 (1063 chars)
  OCR page 218/652 (1070 chars)
  OCR page 219/652 (1206 chars)
  OCR page 220/652 (1184 chars)
  OCR page 221/652 (1338 chars)
  OCR page 222/652 (931 chars)
  OCR page 223/652 (791 chars)
  OCR page 224/652 (782 chars)
  OCR page 225/652 (1321 chars)
  OCR page 226/652 (1419 chars)
  OCR page 227/652 (1253 chars)
  OCR page 228/652 (1339 chars)
  OCR page 229/652 (1272 chars)
  OCR page 230/652 (984 chars)
  OCR page 231/652 (1016 chars)
  OCR page 232/652 (942 chars)
  OCR page 233/652 (1348 chars)
  OCR page 234/652 (1277 chars)
  OCR page 235/652 (922 chars)
  OCR page 236/652 (686 chars)
  OCR page 237/652 (463 chars)
  OCR page 238/652 (1052 chars)
  OCR page 239/652 (1003 chars)
  OCR page 240/652 (709 chars)
  OCR page 241/652 (1216 chars)
  OCR page 242/652 (1236 chars)
  OCR page 243/652 (1532 chars)
  OCR page 244/652 (865 chars)
  OCR page 245/652 (568 chars)
  OCR page 246/652 (0 chars)
  OCR page 247/652 (844 chars)
  OCR page 248/652 (1284 chars)
